parameter,lbci,posterior.median,ubci
"psi[93,49]",0.046388999,0.317095948,0.900816492
"psi[93,5]",0,0.2,0.475579529
"psi[93,50]",0.027116043,0.203695612,0.526110612
"psi[93,6]",0.105030207,0.354670847,0.684091354
"psi[93,7]",0.085285022,0.321789227,0.57716024
"psi[93,8]",0.05740545,0.300877791,0.726033754
"psi[93,9]",0.046945157,0.234133231,0.560830418
"psi[94,1]",0.035574247,0.300204017,0.605256732
"psi[94,10]",0.04181766,0.258212682,0.503200974
"psi[94,11]",0.105700345,0.52255776,0.900353755
"psi[94,12]",0.294743346,0.561268352,0.865106345
"psi[94,13]",0.101324574,0.284489053,0.558502519
"psi[94,14]",0.11206995,0.46701208,0.832662558
"psi[94,15]",0.012887644,0.130031386,0.424515988
"psi[94,16]",0.13072944,0.351247831,0.651636357
"psi[94,17]",0.040242182,0.210701472,0.507284303
"psi[94,18]",0.093054413,0.311919591,0.81123356
"psi[94,19]",0.089561441,0.290101399,0.61996611
"psi[94,2]",0.124304243,0.291059934,0.566670882
"psi[94,20]",0.133066159,0.369955163,0.708507288
"psi[94,21]",0,0.001441907,0.677000365
"psi[94,22]",0.015195908,0.150099014,0.662889123
"psi[94,23]",0.103455182,0.324185922,0.696279295
"psi[94,24]",0.01507542,0.185001303,0.556607568
"psi[94,25]",0.029179703,0.1528963,0.434212271
"psi[94,26]",0.129180487,0.422143123,0.734633762
"psi[94,27]",0.000221844,0.419636231,0.975989051
"psi[94,28]",0.115477883,0.358751295,0.588969305
"psi[94,29]",0.164761635,0.475365948,0.852861017
"psi[94,3]",0.143190455,0.378204678,0.644210631
"psi[94,30]",0.298856443,0.58352265,0.87474476
"psi[94,31]",0,0.024094229,0.381262117
"psi[94,32]",0.002311503,0.07657344,0.375567524
"psi[94,33]",0.000195277,0.024798756,0.215998464
"psi[94,34]",0.007867277,0.190543934,0.995688702
"psi[94,35]",0.000441238,0.051125279,0.436727154
"psi[94,36]",0,0.015675873,0.245104472
"psi[94,37]",0.004302826,0.136380311,0.513599708
"psi[94,38]",0.000808046,0.059680053,0.343210182
"psi[94,39]",0.001349077,0.087669389,0.464435689
"psi[94,4]",0.139155209,0.465851015,0.842041525
"psi[94,40]",0.001011597,0.093116122,0.517303957
"psi[94,41]",0.004624103,0.076845362,0.38367696
"psi[94,42]",0.002924226,0.140612588,0.568302002
"psi[94,43]",0.001521054,0.048132513,0.393657985
"psi[94,44]",0.006329934,0.143165124,0.416408553
"psi[94,45]",0.00012463,0.02672399,0.414903404
"psi[94,46]",0.017525273,0.207049552,0.526963257
"psi[94,47]",0,0.011232686,0.326101472
"psi[94,48]",0.000547489,0.033415026,0.303945375
"psi[94,49]",0.00029339,0.03228506,0.364577808
"psi[94,5]",0,0.2,0.369007781
"psi[94,50]",0.001569939,0.098961432,0.514418566
"psi[94,6]",0.062195453,0.288717473,0.618409638
"psi[94,7]",0.040476773,0.236981759,0.479474057
"psi[94,8]",0.145229576,0.458163063,0.824534344
"psi[94,9]",0.020919466,0.217921395,0.537881626
"psi[95,1]",0.007294015,0.094593365,0.471394522
"psi[95,10]",0.016960131,0.088117143,0.374694425
"psi[95,11]",0.007913338,0.22385531,0.890340811
"psi[95,12]",0.004267943,0.065605204,0.640862348
"psi[95,13]",0.00183583,0.049379193,0.385406429
"psi[95,14]",0.002605697,0.029243914,0.507187076
"psi[95,15]",0.008525202,0.048553131,0.399444759
"psi[95,16]",0.006184044,0.093243038,0.403200383
"psi[95,17]",0.003583557,0.051161774,0.476627972
"psi[95,18]",0.001926415,0.048154832,0.491159891
"psi[95,19]",0.002273932,0.04530389,0.419469409
"psi[95,2]",0.004090905,0.047363156,0.401189107
"psi[95,20]",0.001316416,0.042682227,0.460520637
"psi[95,21]",0,0.002485927,0.819822012
"psi[95,22]",0.023104952,0.231404059,0.787796021
"psi[95,23]",0.002528953,0.047666083,0.546512149
"psi[95,24]",0.026350943,0.169066614,0.620738661
